date,regime,active_CHAMP,BASE_equity,CHAMP_equity,CHAMP_cash,BASE_dd_%,CHAMP_dd_%,CHAMP_ret_%,k_today,VIX,scale
2010-05-25,BEAR,yangbyungi,97010.34680552511,98272.37610993818,88297.55548129212,0.0,0.0,,0.3756139777735748,34.61000061035156,0.577867658113192
2010-05-26,BEAR,yangbyungi,96046.98483878191,97715.41208784151,86865.1569039216,-0.9930507399117383,-0.5667554242034245,-0.5667554242034245,0.37121644289179323,35.02000045776367,0.571102219833528
2010-05-27,BEAR,yangbyungi,94724.52294098971,96947.34707394466,96947.34707394466,-2.356268109336568,-1.3483229860151047,-0.7860223863216165,0.43800538633191927,29.68000030517578,0.673854440510645
2010-05-28,NEUTRAL,longbyungi,94724.52294098971,96947.34707394466,96947.34707394466,-2.356268109336568,-1.3483229860151047,0.0,0.40536327170898206,32.06999969482422,0.6236358026292032
2010-06-01,BEAR,yangbyungi,92357.40273380153,95584.00016943828,83305.69395621777,-4.79633794223131,-2.735637466923957,-1.4062756183173541,0.3657850215282445,35.540000915527344,0.56274618696653
2010-06-02,BEAR,yangbyungi,94672.67347500188,97087.12633567044,75325.26320646507,-2.4097154659281084,-1.206086411243168,1.572570894258063,0.43089161309663837,30.170000076293945,0.6629101739948282
2010-06-03,BEAR,yangbyungi,95343.13952709589,97546.90914143441,75955.90652373986,-1.7185870717186913,-0.7382206447233752,0.4735775206429649,0.441276320570283,29.459999084472656,0.6788866470312046
2010-06-04,NEUTRAL,longbyungi,94515.33928214436,96971.69209368879,96971.69209368879,-2.5718983650088956,-1.3235499819341912,-0.5896824951281743,0.36640361239363767,35.47999954223633,0.563697865220981
2010-06-07,BEAR,yangbyungi,96241.36483563577,97940.1816373473,83182.99088791468,-0.7926803637048119,-0.3380344362684973,0.9987342932232357,0.35548263900696453,36.56999969482422,0.5468963677030223
2010-06-08,BEAR,yangbyungi,94497.97480285942,96961.94871730337,96961.94871730337,-2.589797980726949,-1.3334646464321032,-0.9988065201534169,0.38575666782465934,33.70000076293945,0.5934717966533221
2010-06-09,BEAR,yangbyungi,92706.22001117823,95871.83684631804,67711.5520124503,-4.436770855974048,-2.4427406343921487,-1.1242677002744617,0.3854135836474455,33.72999954223633,0.5929439748422238
2010-06-10,BEAR,yangbyungi,92471.19578032164,95728.84702136235,95728.84702136235,-4.679038035296412,-2.5882442139491535,-0.14914685027355157,0.42525352076470646,30.56999969482422,0.654236185791856
2010-06-11,BEAR,yangbyungi,94391.06136328013,97109.5348445613,74115.874258195,-2.7000062658221635,-1.1832839617879953,1.442290246001643,0.4515456612225634,28.790000915527344,0.6946856326500975
2010-06-14,NEUTRAL,longbyungi,93223.24930399828,96276.75577096424,53531.31310284895,-3.903807816622651,-2.0307032535179736,-0.8575667414431054,0.4548635421519711,28.579999923706055,0.6997900648491863
2010-06-15,NEUTRAL,longbyungi,102072.32863299087,103211.15072252185,48356.34829050463,0.0,0.0,7.202564000031386,0.5025125465123574,25.8700008392334,0.7730962254036269
2010-06-16,NEUTRAL,longbyungi,101830.49791970744,103003.03111461882,50841.49099444777,-0.23692093295231142,-0.20164449911285187,-0.20164449911285187,0.5015432084002812,25.920000076293945,0.7716049360004327
2010-06-17,NEUTRAL,longbyungi,103089.6980956262,103988.66284519936,103988.66284519936,0.0,0.0,0.9568958504568181,0.5189620916541579,25.049999237060547,0.7984032179294737
2010-06-18,NEUTRAL,longbyungi,103089.6980956262,103988.66284519936,103988.66284519936,0.0,0.0,0.0,0.5427974774897032,23.950000762939453,0.835073042291851
2010-06-21,NEUTRAL,longbyungi,97655.09329481208,99581.9137052781,99581.9137052781,-5.2717244314489875,-4.237720747002271,-4.237720747002271,0.5225080562100568,24.8799991607666,0.803858548015472
2010-06-22,NEUTRAL,longbyungi,92506.98588303517,95700.44662788675,95700.44662788675,-10.2655380780866,-7.970307522513965,-3.897763090674189,0.4805915107823373,27.049999237060547,0.7393715550497497
2010-06-23,BEAR,yangbyungi,91897.88178195336,95232.12171843428,74774.57402958411,-10.856386739333823,-8.420669029854079,-0.48936543762795326,0.4830917901788911,26.90999984741211,0.7432181387367555
2010-06-24,BEAR,yangbyungi,91471.080833787,94899.64621969525,78271.54990825936,-11.270396049721432,-8.740391862749785,-0.3491211712388753,0.437121724951218,29.739999771118164,0.6724949614634123
2010-06-25,BEAR,yangbyungi,90024.7882796574,93862.2721198586,81435.61973738325,-12.673341815250794,-9.737975706462553,-1.0931274679729652,0.4556606970600291,28.530000686645508,0.7010164570154294
2010-06-28,BEAR,yangbyungi,90018.98071608451,93856.4256553875,72721.74238875431,-12.678975320518704,-9.743597919799207,-0.006228769386307231,0.4482758620689656,29.0,0.6896551724137931
2010-06-29,BEAR,yangbyungi,88502.27779846494,92765.17354049705,92765.17354049705,-14.150221182750899,-10.792993195238921,-1.1626823707278189,0.38089656001050637,34.130001068115234,0.5859947077084713
2010-06-30,BEAR,yangbyungi,86523.36523501661,91564.11335760033,79369.37586826182,-16.069823820070393,-11.947984662611333,-1.294731780318814,0.376375207163237,34.540000915527344,0.5790387802511339
